mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_leaf,params,split0_test_recall_deseased,split1_test_recall_deseased,split2_test_recall_deseased,split3_test_recall_deseased,split4_test_recall_deseased,mean_test_recall_deseased,std_test_recall_deseased,rank_test_recall_deseased,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
17.33795757293701,1.6203909081072472,1.3353245735168457,0.10055663538476872,gini,0.8,1,"{'criterion': 'gini', 'max_features': 0.8, 'min_samples_leaf': 1}",0.12140992167101827,0.13054830287206268,0.11879895561357702,0.11096605744125326,0.11879895561357702,0.12010443864229765,0.006288038944539063,3,0.6655747552091504,0.6660368934878313,0.6666526292687638,0.6640583177132522,0.6662975377412457,0.6657240266840487,0.0009039880174633037,4,0.8803063647419934,0.8791625644292581,0.8809578965657033,0.8803787571668501,0.8805090635315921,0.8802629292870794,0.0005949230440121853,5
16.329569339752197,1.401625420693753,1.2997205257415771,0.06306158260248806,gini,0.8,2,"{'criterion': 'gini', 'max_features': 0.8, 'min_samples_leaf': 2}",0.1122715404699739,0.12532637075718014,0.10966057441253264,0.10443864229765012,0.11096605744125326,0.11253263707571803,0.006927675802308925,10,0.6616844638325968,0.663166525906627,0.6634588975804715,0.6611447874063404,0.6626525210155123,0.6624214391483095,0.0008783900490643612,9,0.8785979035153761,0.8776278450222968,0.8799733595876528,0.8792349568541148,0.8787137313951469,0.8788295592749173,0.0007725055321801626,10
16.77726230621338,2.645492468230014,1.390916919708252,0.10218736148042709,gini,0.8,3,"{'criterion': 'gini', 'max_features': 0.8, 'min_samples_leaf': 3}",0.10574412532637076,0.10835509138381201,0.10574412532637076,0.09660574412532637,0.10966057441253264,0.10522193211488251,0.004567325244004154,16,0.6601601492698153,0.6592261306005668,0.6615215688728178,0.6586668095001995,0.662462603298952,0.6604074523084703,0.0014107741469922307,14,0.8789888226096021,0.8775409741124689,0.8800023165575954,0.8789743441246308,0.8790033010945735,0.8789019516997743,0.0007856362684413707,9
11.404784440994263,1.4262489052678258,1.3628078937530517,0.08878015765644462,gini,0.6,1,"{'criterion': 'gini', 'max_features': 0.6, 'min_samples_leaf': 1}",0.12140992167101827,0.13054830287206268,0.11879895561357702,0.1174934725848564,0.11488250652741515,0.1206266318537859,0.005388973222075798,1,0.6654397918797681,0.6657252683448636,0.666797959021485,0.665800026924004,0.6650344789833829,0.6657595050307007,0.0005846503457004655,2,0.8802050153471941,0.8788150807899462,0.8811461168703307,0.88059593444142,0.8800891874674234,0.880170266983263,0.0007717236218057806,6
13.110319042205811,1.13773809295997,1.416792058944702,0.101470838169975,gini,0.6,2,"{'criterion': 'gini', 'max_features': 0.6, 'min_samples_leaf': 2}",0.11488250652741515,0.12140992167101827,0.10966057441253264,0.10574412532637076,0.12140992167101827,0.11462140992167102,0.006255430052590566,7,0.6620950474739062,0.6623015730279994,0.6625915135769951,0.6610437809293792,0.6649092524911782,0.6625882334998916,0.001272625659159338,8,0.8784241616957201,0.8777581513870388,0.8792494353390862,0.8792783923090288,0.8788440377598888,0.8787108356981526,0.0005691646948514688,12
11.293542575836181,0.6833845203446597,1.4402146816253663,0.12213811273117177,gini,0.6,3,"{'criterion': 'gini', 'max_features': 0.6, 'min_samples_leaf': 3}",0.11357702349869452,0.11357702349869452,0.10443864229765012,0.09921671018276762,0.10704960835509138,0.10757180156657964,0.0055140240422827365,13,0.6610109770815465,0.6599766108952639,0.6609624224400275,0.6588330764455737,0.6605637968351578,0.6602693767395138,0.0008081629757610079,15,0.8780332426014942,0.8771934904731569,0.8782648983610355,0.8784531186656628,0.8782504198760641,0.8780390339954828,0.0004432024829816274,15
8.972406959533691,0.5415170406703598,1.3492340564727783,0.10751752824969077,gini,0.4,1,"{'criterion': 'gini', 'max_features': 0.4, 'min_samples_leaf': 1}",0.11879895561357702,0.12924281984334204,0.12010443864229765,0.11488250652741515,0.11618798955613577,0.11984334203655353,0.005049368043293401,5,0.6650834876251033,0.6657847575601497,0.6673661164273268,0.6651618249671349,0.6653786094663956,0.6657549592092221,0.0008415505890330997,3,0.8805090635315921,0.8792059998841721,0.881508078994614,0.8806393698963341,0.8801326229223374,0.88039902704581,0.0007475498517899945,1
9.042362260818482,0.47790799789280436,1.3121269702911378,0.08869675383649293,gini,0.4,2,"{'criterion': 'gini', 'max_features': 0.4, 'min_samples_leaf': 2}",0.1174934725848564,0.11618798955613577,0.11488250652741515,0.10835509138381201,0.10704960835509138,0.11279373368146214,0.004258356770313342,9,0.6631028480694471,0.6600357319297215,0.6646450568327616,0.6612670301210926,0.6609501459268244,0.6620001625759694,0.0016559219094469339,11,0.8789598656396594,0.8773672322928129,0.8793073492789715,0.8784241616957201,0.8780187641165228,0.8784154746047375,0.0006852836865067919,13
10.023267316818238,1.1378502000041715,1.4142070293426514,0.11396697554956071,gini,0.4,3,"{'criterion': 'gini', 'max_features': 0.4, 'min_samples_leaf': 3}",0.10443864229765012,0.11357702349869452,0.1031331592689295,0.07963446475195822,0.10835509138381201,0.10182767624020887,0.011676595182766527,18,0.6590388050292503,0.6559324039718465,0.660497258142896,0.6540503659073822,0.660596566126749,0.6580230798356247,0.0026049748243996067,18,0.8777436729020676,0.8748334974228297,0.8787861238200034,0.8780042856315515,0.8772369259280709,0.8773209011409046,0.0013406608009860338,17
11.19264097213745,0.583527666103977,1.413266372680664,0.12505930808714294,entropy,0.8,1,"{'criterion': 'entropy', 'max_features': 0.8, 'min_samples_leaf': 1}",0.12402088772845953,0.13315926892950392,0.11357702349869452,0.11357702349869452,0.1174934725848564,0.12036553524804179,0.0074492650745102374,2,0.6663545141202574,0.6664185442816407,0.6655061824902134,0.6647965628744172,0.6658672866942068,0.6657886180921471,0.0005978590957835505,1,0.8805814559564488,0.8788874732148028,0.881160595355302,0.8805669774714774,0.8803787571668501,0.8803150518329762,0.0007604499474803728,2
