mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_n_estimators,param_num_leaves,params,split0_test_recall_deseased,split1_test_recall_deseased,split2_test_recall_deseased,split3_test_recall_deseased,split4_test_recall_deseased,mean_test_recall_deseased,std_test_recall_deseased,rank_test_recall_deseased,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
13.922679471969605,0.485639735649601,2.317470359802246,0.11865478119470904,gbdt,50,21,"{'boosting_type': 'gbdt', 'n_estimators': 50, 'num_leaves': 21}",0.6879895561357703,0.7284595300261096,0.6814621409921671,0.6827676240208878,0.6945169712793734,0.6950391644908617,0.01733099402117606,11,0.6852450815889053,0.7006794497299813,0.6993008710536509,0.6970596249513721,0.6916324089488317,0.6947834872545482,0.005679091650011284,24,0.677737881508079,0.6861064458215093,0.7018156020154052,0.6936931719464875,0.6805756645624602,0.6879857531707881,0.008801129825855791,24
14.69436173439026,0.48407666631750546,2.343422031402588,0.20802246725096413,gbdt,50,31,"{'boosting_type': 'gbdt', 'n_estimators': 50, 'num_leaves': 31}",0.6866840731070496,0.7349869451697127,0.6814621409921671,0.6879895561357703,0.6945169712793734,0.6971279373368147,0.019381037660465398,8,0.6975201006755262,0.712186620124405,0.7081643688352294,0.7028373055804079,0.6992523023164765,0.7039921395064089,0.005481678479866309,18,0.6949528001389934,0.7016852956506631,0.7140933572710951,0.7012075056466092,0.6911160016215904,0.7006109920657903,0.007816061765233227,19
14.800783681869508,0.3975612980198862,2.2638885498046877,0.08218185065792348,gbdt,50,41,"{'boosting_type': 'gbdt', 'n_estimators': 50, 'num_leaves': 41}",0.6775456919060052,0.7154046997389034,0.6631853785900783,0.6788511749347258,0.7088772845953003,0.6887728459530027,0.01996322177923269,16,0.7011741419204018,0.7197848205319878,0.7115078747124571,0.7068183883201636,0.7087211154096466,0.7096012681789314,0.0061135167159980285,13,0.7045665141599583,0.7176840215439856,0.7235912434122893,0.710473736028262,0.7015260323159784,0.7115683094920948,0.008161169447742266,14
20.166180992126463,0.4868971182544629,3.032667398452759,0.19103723528448371,gbdt,100,21,"{'boosting_type': 'gbdt', 'n_estimators': 100, 'num_leaves': 21}",0.6932114882506527,0.7258485639686684,0.6932114882506527,0.6736292428198434,0.6984334203655352,0.6968668407310705,0.01678751687277127,9,0.7060944267487126,0.7103277907839448,0.7118322212000199,0.7089224773420559,0.7060394808403908,0.7086432793830248,0.002296140094785146,15,0.704465164765159,0.7002808826084439,0.7171193606301036,0.7142815775757225,0.7008889789772398,0.7074071929113337,0.006978686228052877,15
20.915020751953126,0.31951198198387437,3.2954580783843994,0.10634778908734646,gbdt,100,31,"{'boosting_type': 'gbdt', 'n_estimators': 100, 'num_leaves': 31}",0.6840731070496083,0.7258485639686684,0.6723237597911227,0.6840731070496083,0.6906005221932114,0.6913838120104439,0.018213242847619094,15,0.706940049152613,0.7200427992798075,0.7162111598346528,0.7135610823205091,0.7125355749913873,0.7138581331157939,0.004323982312382714,8,0.7105750854230614,0.7153964209185151,0.729759078010077,0.7200150576243702,0.7136010887820698,0.7178693461516187,0.006685946771366616,10
21.24033393859863,0.29214416569397306,3.2267372608184814,0.07079611985082966,gbdt,100,41,"{'boosting_type': 'gbdt', 'n_estimators': 100, 'num_leaves': 41}",0.6527415143603134,0.6762402088772846,0.6370757180156658,0.6788511749347258,0.6775456919060052,0.664490861618799,0.016759066878204925,22,0.7114330100339684,0.7239301548517789,0.716949367653887,0.718367403268038,0.7165100085384508,0.7174379888692246,0.004004290180993706,4,0.7278623964788324,0.7359269126078647,0.7395899693056118,0.7265014188915272,0.7238228991718306,0.7307407192911334,0.005988630431579468,5
30.289982318878174,0.7682538549562693,4.5841938018798825,0.3349353003069475,gbdt,200,21,"{'boosting_type': 'gbdt', 'n_estimators': 200, 'num_leaves': 21}",0.664490861618799,0.6997389033942559,0.6579634464751958,0.6801566579634465,0.6762402088772846,0.6757180156657964,0.014410072821458644,20,0.7144252343383701,0.7215183403397485,0.717343485444777,0.7196626494196353,0.7124212586770926,0.7170741936439248,0.0033223440652307623,5,0.7283112295129438,0.7277320901140905,0.7379249435339086,0.7266172467712978,0.7193345688307176,0.7279840157525916,0.005927454260105279,6
33.00465865135193,0.88503168802789,5.3524047374725345,0.31958110618929814,gbdt,200,31,"{'boosting_type': 'gbdt', 'n_estimators': 200, 'num_leaves': 31}",0.6671018276762402,0.6775456919060052,0.6501305483028721,0.6775456919060052,0.674934725848564,0.6694516971279374,0.010391513703463385,21,0.7169364065592204,0.7225692131392889,0.7227762855839818,0.7244426500652756,0.7230924016321545,0.7219633913959843,0.0025969128270786454,2,0.7310766201424683,0.7353767301789541,0.7470319105808768,0.7341750159263335,0.7345369780506168,0.73643945097585,0.00549247849059918,2
33.22885460853577,0.5404942624301905,5.589771366119384,0.25801764171651853,gbdt,200,41,"{'boosting_type': 'gbdt', 'n_estimators': 200, 'num_leaves': 41}",0.6553524804177546,0.6527415143603134,0.6475195822454308,0.6566579634464752,0.6566579634464752,0.6537859007832898,0.0034441007723950167,24,0.7186366218744148,0.7272140639560294,0.7261703097823653,0.7274053235856377,0.7231370194430573,0.7245126677283009,0.003311588735010408,1,0.7385330399027046,0.7486390224126948,0.7519690739561012,0.7449759657149476,0.7432240690334163,0.7454682342039729,0.004597615488963659,1
16.392153167724608,0.3202091209532714,2.124670934677124,0.030658329188258726,dart,50,21,"{'boosting_type': 'dart', 'n_estimators': 50, 'num_leaves': 21}",0.6723237597911227,0.7715404699738904,0.7271540469973891,0.716710182767624,0.7193211488250653,0.7214099216710184,0.03156570498111211,2,0.6754729562486583,0.6942877643895267,0.6926354189030491,0.6900294758600158,0.6879120736808938,0.6880675378164287,0.006664137019805521,26,0.6654022123125036,0.6603492210575086,0.6719175305496032,0.6738721260207332,0.666111658076099,0.6675305496032895,0.004849242121266549,27
